time,scale1,scale2,scale3,scale4,total
0.3876526355743408,-0.019,-0.042,-0.163,0.022,-0.202
0.9136815071105957,-0.019,-0.042,-0.163,0.022,-0.202
1.321690320968628,-0.019,-0.042,-0.163,0.022,-0.202
1.74369215965271,-0.019,-0.042,-0.163,0.022,-0.202
2.167141914367676,-0.019,-0.042,-0.163,0.022,-0.202
2.5912747383117676,-0.019,-0.042,-0.163,0.022,-0.202
2.997685670852661,-0.019,-0.042,-0.163,0.022,-0.202
3.420598268508911,-0.019,-0.042,-0.163,0.022,-0.202
3.8409814834594727,-0.019,-0.042,-0.163,0.022,-0.202
4.263452053070068,-0.019,-0.042,-0.163,0.022,-0.202
4.684027433395386,-0.019,-0.042,-0.163,0.022,-0.202
5.106031179428101,-0.019,-0.042,-0.163,0.022,-0.202
5.529690742492676,-0.019,-0.042,-0.163,0.022,-0.202
5.9364259243011475,-0.019,-0.042,-0.163,0.022,-0.202
6.341031074523926,-0.019,-0.042,-0.163,0.022,-0.202
6.762785911560059,-0.019,-0.042,-0.163,0.022,-0.202
7.1678502559661865,-0.019,-0.042,-0.163,0.022,-0.202
7.587742328643799,-0.019,-0.042,-0.163,0.022,-0.202
8.026002407073975,-0.019,-0.042,-0.163,0.022,-0.202
8.435107231140137,-0.019,-0.042,-0.163,0.022,-0.202
8.855830907821655,-0.019,-0.042,-0.163,0.022,-0.202
9.247747421264648,-0.019,-0.042,-0.163,0.022,-0.202
9.654924154281616,-0.019,-0.042,-0.163,0.022,-0.202
10.065992832183838,-0.019,-0.042,-0.163,0.022,-0.202
10.48754596710205,-0.019,-0.042,-0.163,0.022,-0.202
10.91185188293457,-0.019,-0.042,-0.163,0.022,-0.202
11.320796489715576,-0.019,-0.042,-0.163,0.022,-0.202
11.728631496429443,-0.019,-0.042,-0.163,0.022,-0.202
12.153579950332642,-0.019,-0.042,-0.163,0.022,-0.202
12.559031248092651,-0.019,-0.042,-0.163,0.022,-0.202
12.981616973876953,-0.019,-0.042,-0.163,0.022,-0.202
13.387583017349243,-0.019,-0.042,-0.163,0.022,-0.202
13.809591293334961,-0.019,-0.042,-0.163,0.022,-0.202
14.243523120880127,0.0,0.0,0.0,0.0010000000000000009,0.0010000000000000009
14.63495945930481,0.0,0.0,0.0,0.0010000000000000009,0.0010000000000000009
15.057016372680664,0.0,0.0,0.0,0.0,0.0
15.478979110717773,0.0,0.0,0.0,0.0,0.0
15.887686252593994,0.0,0.0,-0.0010000000000000009,0.0,-0.0010000000000000009
16.294766426086426,0.0,0.0,0.0,0.0,0.0
16.699840545654297,0.0,0.0,0.0,0.0,0.0
